"URL","TITLE"
"http://imgs.xkcd.com/comics/matrix_transform.png","Matrix Transform"
"http://imgs.xkcd.com/comics/a_way_so_familiar.png","A Way So Familiar"
"http://imgs.xkcd.com/comics/designated_drivers.png","Designated Drivers"
"http://imgs.xkcd.com/comics/certainty.png","Certainty"
"http://imgs.xkcd.com/comics/phobia.png","Phobia"
"http://imgs.xkcd.com/comics/blagofaire.png","Blagofaire"
"http://imgs.xkcd.com/comics/electric_skateboards.png","Electric Skateboards"
"http://imgs.xkcd.com/comics/join_myspace.png","Join Myspace"
"http://imgs.xkcd.com/comics/the_general_problem.png","The General Problem"
"http://imgs.xkcd.com/comics/resonance.png","Resonance"
"http://imgs.xkcd.com/comics/cougars.png","Cougars"
"http://imgs.xkcd.com/comics/want.jpg","Want"
"http://imgs.xkcd.com/comics/car_problems.png","Car Problems"
"http://imgs.xkcd.com/comics/america.png","America"
"http://imgs.xkcd.com/comics/pillow_talk.jpg","Pillow Talk"
"http://imgs.xkcd.com/comics/mtv_generation.png","Mtv Generation"
"http://imgs.xkcd.com/comics/schrodinger.jpg","Schrodinger"
"http://imgs.xkcd.com/comics/working_for_google.png","Working For Google"
"http://imgs.xkcd.com/comics/quirky_girls.png","Quirky Girls"
"http://imgs.xkcd.com/comics/good_cop_dadaist_cop.png","Good Cop Dadaist Cop"
"http://imgs.xkcd.com/comics/climbing.png","Climbing"
"http://imgs.xkcd.com/comics/turn_signals.png","Turn Signals"
"http://imgs.xkcd.com/comics/firefly.jpg","Firefly"
"http://imgs.xkcd.com/comics/keyboards_are_disgusting.png","Keyboards Are Disgusting"
"http://imgs.xkcd.com/comics/kindle.png","Kindle"
"http://imgs.xkcd.com/comics/blanket_fort.png","Blanket Fort"
"http://imgs.xkcd.com/comics/pwned.png","Pwned"
"http://imgs.xkcd.com/comics/phantom_menace.png","Phantom Menace"
"http://imgs.xkcd.com/comics/pickup_lines.png","Pickup Lines"
"http://imgs.xkcd.com/comics/accident.png","Accident"
"http://imgs.xkcd.com/comics/occulting_telescope.png","Occulting Telescope"
"http://imgs.xkcd.com/comics/nowhere.png","Nowhere"
"http://imgs.xkcd.com/comics/black_hat_support.png","Black Hat Support"
"http://imgs.xkcd.com/comics/grownups.png","Grownups"
"http://imgs.xkcd.com/comics/swingset.png","Swingset"
"http://imgs.xkcd.com/comics/the_fast_and_the_furious.jpg","The Fast And The Furious"
"http://imgs.xkcd.com/comics/computer_problems.png","Computer Problems"
"http://imgs.xkcd.com/comics/music_drm.png","Music Drm"
"http://imgs.xkcd.com/comics/mario.png","Mario"
"http://imgs.xkcd.com/comics/book_burning.png","Book Burning"
"http://imgs.xkcd.com/comics/reno_rhymes.png","Reno Rhymes"
"http://imgs.xkcd.com/comics/wisdom_of_the_ancients.png","Wisdom Of The Ancients"
"http://imgs.xkcd.com/comics/self-reference.jpg","Self-Reference"
"http://imgs.xkcd.com/comics/chess_enlightenment.png","Chess Enlightenment"
"http://imgs.xkcd.com/comics/the_familiar.png","The Familiar"
"http://imgs.xkcd.com/comics/nash.png","Nash"
"http://imgs.xkcd.com/comics/balloon.png","Balloon"
